method,patch_id,split,image_name,city,x,y,seconds,iou,dice,precision,recall,f1,n_pred,n_gt,count_err,area_ratio_pred,area_ratio_gt,area_abs_error,selected_c,threshold
K-Means,test_austin9_2048_512,test,austin9.tif,austin,512,2048,0.0822372060000589,0.2538102623921654,0.40486231450668875,0.2783118982359969,0.7424677053452575,0.40486231450668875,9.0,49.0,40.0,54.279327392578125,20.346450805664062,33.93287658691406,,
K-Means,test_austin9_2560_0,test,austin9.tif,austin,0,2560,0.08191432000000987,0.27682886339321944,0.4336193695645893,0.3494499097735607,0.5712002131344079,0.43361936956458924,42.0,37.0,5.0,32.76634216308594,20.045852661132812,12.720489501953125,,
K-Means,test_austin9_2560_1024,test,austin9.tif,austin,1024,2560,0.09065223900006458,0.2888043891574773,0.4481741241528138,0.398366551775813,0.5122162703765077,0.4481741241528139,50.0,47.0,3.0,25.455474853515625,19.797515869140625,5.657958984375,,
K-Means,test_austin9_3072_2560,test,austin9.tif,austin,2560,3072,0.08363026300003185,0.09803168223194231,0.17855893198395822,0.10392689295039165,0.633458526959068,0.17855893198395822,31.0,25.0,6.0,36.525726318359375,5.9925079345703125,30.533218383789062,,
K-Means,test_austin9_3072_3584,test,austin9.tif,austin,3584,3072,0.07994209200001023,0.21678824617281414,0.3563286329477328,0.23526001248773526,0.7341173196019762,0.3563286329477328,5.0,39.0,34.0,51.31988525390625,16.446304321289062,34.87358093261719,,
K-Means,test_austin9_4096_1536,test,austin9.tif,austin,1536,4096,0.08302117999994607,0.5207808564231738,0.6848861283643892,0.6166498530637309,0.7701029798422436,0.6848861283643892,28.0,9.0,19.0,26.091384887695312,20.892333984375,5.1990509033203125,,
K-Means,test_chicago22_512_0,test,chicago22.tif,chicago,0,512,0.080482939000035,0.6436177302548761,0.783172045917356,1.0,0.6436177302548761,0.783172045917356,5.0,1.0,4.0,16.578292846679688,25.757980346679688,9.1796875,,
K-Means,test_chicago22_512_4096,test,chicago22.tif,chicago,4096,512,0.0822135650000746,0.28474417172065325,0.44326984000136993,0.3269423463931762,0.6880981073226058,0.44326984000137,12.0,3.0,9.0,45.30372619628906,21.52557373046875,23.778152465820312,,
K-Means,test_chicago22_1024_1024,test,chicago22.tif,chicago,1024,1024,0.0808889630000067,0.31106645889718143,0.4745243184069228,0.49138452237001207,0.4587827349152269,0.4745243184069228,21.0,3.0,18.0,35.333251953125,37.844085693359375,2.510833740234375,,
K-Means,test_chicago22_1024_2048,test,chicago22.tif,chicago,2048,1024,0.08194589000004271,0.23291588828155632,0.3778293239552546,0.25466297943161664,0.7317232218331119,0.3778293239552546,16.0,4.0,12.0,45.38307189941406,15.794754028320312,29.58831787109375,,
K-Means,test_chicago22_1024_3072,test,chicago22.tif,chicago,3072,1024,0.08177382400003808,0.3457347504057203,0.5138230253792379,0.3604513592937016,0.8943813131313131,0.5138230253792377,20.0,6.0,14.0,29.986190795898438,12.0849609375,17.901229858398438,,
K-Means,test_chicago22_1536_1536,test,chicago22.tif,chicago,1536,1536,0.08002495299990642,0.5198933900749669,0.6841182328575346,0.8082133387895684,0.5930585357614279,0.6841182328575346,15.0,3.0,12.0,44.74525451660156,60.97831726074219,16.233062744140625,,
K-Means,test_chicago22_1536_3072,test,chicago22.tif,chicago,3072,1536,0.08301352900002712,0.38926090204192254,0.5603855999543218,0.4604935954581711,0.7156207466459265,0.5603855999543218,10.0,55.0,45.0,48.781585693359375,31.390380859375,17.391204833984375,,
K-Means,test_chicago22_2048_1024,test,chicago22.tif,chicago,1024,2048,0.08042145599995365,0.30537206466526523,0.4678697712802233,0.42829113724831863,0.5155081834714084,0.4678697712802233,15.0,9.0,6.0,36.35749816894531,30.206298828125,6.1511993408203125,,
K-Means,test_chicago22_2560_0,test,chicago22.tif,chicago,0,2560,0.07949258899998313,0.2234398988913676,0.3652650188927791,0.9361051883439944,0.22690038330677462,0.3652650188927791,18.0,5.0,13.0,10.73455810546875,44.28672790527344,33.55216979980469,,
K-Means,test_chicago22_3584_0,test,chicago22.tif,chicago,0,3584,0.08421515300005922,0.1922112619519225,0.3224449694213234,0.22738702269277178,0.5540717415634425,0.3224449694213234,10.0,6.0,4.0,49.00169372558594,20.109939575195312,28.891754150390625,,
K-Means,test_chicago22_3584_2048,test,chicago22.tif,chicago,2048,3584,0.08282069599999886,0.35583916990920883,0.5248987900726263,0.45436358095843765,0.6213581678504131,0.5248987900726263,20.0,8.0,12.0,28.792190551757812,21.0540771484375,7.7381134033203125,,
